Orthologue Group ID	ProteinID
OG0000000	LCP85-384_k31_TRINITY_DN4840_c0_g1_i3
OG0000000	LCP85-384_k31_TRINITY_DN4840_c0_g1_i5
OG0000000	LCP85-384_k31_TRINITY_DN4840_c0_g1_i7
OG0000000	LCP85-384_k31_TRINITY_DN4840_c0_g1_i8
OG0000000	LCP85-384_k31_TRINITY_DN4840_c0_g1_i9
OG0000000	LCP85-384_k31_TRINITY_DN4840_c1_g1_i6
OG0000000	LCP85-384_k31_TRINITY_DN52253_c0_g1_i5
OG0000000	LCP85-384_k31_TRINITY_DN52253_c1_g1_i6
OG0000000	LCP85-384_k31_TRINITY_DN55330_c4_g1_i2
OG0000000	LCP85-384_k31_TRINITY_DN57541_c0_g1_i3
OG0000000	LCP85-384_k31_TRINITY_DN57541_c0_g2_i1
OG0000000	LCP85-384_k31_TRINITY_DN57541_c0_g2_i2
OG0000000	LCP85-384_k31_TRINITY_DN57541_c1_g1_i3
OG0000000	LCP85-384_k31_TRINITY_DN58557_c0_g1_i5
OG0000000	LCP85-384_k31_TRINITY_DN71341_c0_g2_i1
OG0000000	LCP85-384_k31_TRINITY_DN82493_c0_g1_i8
OG0000000	LCP85-384_k31_TRINITY_DN83081_c0_g1_i1
OG0000000	LCP85-384_k31_TRINITY_DN83081_c0_g2_i1
OG0000000	LCP85-384_k31_TRINITY_DN83081_c0_g2_i6
OG0000000	LCP85-384_k31_TRINITY_DN83084_c0_g1_i2
OG0000000	MS6847_k25_TRINITY_DN20245_c0_g1_i1
OG0000000	MS6847_k25_TRINITY_DN20473_c0_g1_i1
OG0000000	MS6847_k25_TRINITY_DN31829_c0_g1_i5
OG0000000	MS6847_k25_TRINITY_DN52957_c0_g1_i1
OG0000000	MS6847_k31_TRINITY_DN26931_c0_g1_i1
OG0000000	MS6847_k31_TRINITY_DN38864_c0_g1_i2
OG0000000	MS6847_k31_TRINITY_DN38864_c0_g1_i4
OG0000000	MS6847_k31_TRINITY_DN8127_c0_g1_i16
OG0000000	MT11-610_k25_TRINITY_DN136557_c0_g1_i1
OG0000000	MT11-610_k25_TRINITY_DN141276_c0_g1_i1
OG0000000	MT11-610_k25_TRINITY_DN141276_c0_g1_i3
OG0000000	MT11-610_k25_TRINITY_DN141276_c0_g1_i4
OG0000000	MT11-610_k25_TRINITY_DN146916_c0_g1_i1
OG0000000	MT11-610_k25_TRINITY_DN153983_c0_g2_i1
OG0000000	MT11-610_k25_TRINITY_DN153983_c1_g1_i2
